,N=10,N=20,N=30,N=40,N=50,N=60,N=70
Min Q,0.0,0.3279766252739226,0.2940051020408163,0.2971332644628099,0.2655178326474623,0.36514217875515853,0.3821855709876543
Max Q,0.375,0.3279766252739226,0.2940051020408163,0.2971332644628099,0.2655178326474623,0.36819492339872234,0.39154128086419754
Arg Max LH,0.37499999999999567,0.3279766252739234,0.2940051020408159,0.2971332644628089,0.2655178326474612,0.3651421787551605,0.38913001543209597
Frequency Max Q,19.0,20.0,20.0,40.0,40.0,11.0,1.0
LH Max Q,94.94919999999988,100.00000000000088,100.00000000000088,100.00000000000088,100.00000000000088,27.57919999999997,2.470799999999998
Max LH,94.94919999999988,100.00000000000088,100.00000000000088,100.00000000000088,100.00000000000088,69.87360000000007,95.03279999999992
