,N=10,N=20,N=30,N=40,N=50,N=60,N=70,N=80,N=90,N=100
Min Q,0.04427083333333331,0.08816189236111112,0.08399777091906724,0.09727986653645834,0.08948749999999998,0.07119797025034295,0.07299548220648802,0.06542184617784291,0.06327782329082626,0.058136545138888884
Max Q,0.04427083333333331,0.08816189236111112,0.08399777091906724,0.09727986653645834,0.09251111111111109,0.07483563207304528,0.07679851277245589,0.07152917650010851,0.06859570547342039,0.0669509548611111
Arg Max LH,0.04427083333333308,0.08816189236111173,0.08399777091906703,0.09727986653645894,0.09015416666666677,0.07446052222650872,0.07434087793280579,0.06757239362928584,0.0654971533175836,0.061759913020833446
Frequency Max Q,20.0,20.0,20.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0
LH Max Q,100.00000000000088,100.00000000000088,100.00000000000088,100.00000000000088,4.8959999999999715,2.3819999999999926,5.01399999999997,5.091999999999973,4.983999999999968,5.143999999999972
Max LH,100.00000000000088,100.00000000000088,100.00000000000088,100.00000000000088,79.95600000000016,26.045999999999967,17.035999999999984,9.671999999999965,9.509999999999964,9.61399999999997
