,N=10,N=20,N=30,N=40,N=50,N=60,N=70,N=80,N=90,N=100
Min Q,0.04427083333333331,0.08816189236111112,0.08399777091906724,0.09727986653645834,0.08948749999999998,0.07119797025034295,0.07299548220648802,0.06542184617784291,0.06327782329082626,0.058136545138888884
Max Q,0.04427083333333331,0.08816189236111112,0.08399777091906724,0.09727986653645834,0.09251111111111109,0.07483563207304528,0.07679851277245589,0.07152917650010851,0.06859570547342039,0.0669509548611111
Arg Max LH,0.04427083333333308,0.08816189236111173,0.08399777091906703,0.09727986653645894,0.09015416666666677,0.0743969009880828,0.07416504118654267,0.06724864366319439,0.06531000075149442,0.06115544565972231
Frequency Max Q,20.0,20.0,20.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0
LH Max Q,100.00000000000088,100.00000000000088,100.00000000000088,100.00000000000088,5.1899999999999675,2.499999999999995,5.029999999999966,4.589999999999975,5.179999999999971,5.309999999999969
Max LH,100.00000000000088,100.00000000000088,100.00000000000088,100.00000000000088,80.19999999999997,29.249999999999964,21.529999999999966,16.12999999999987,16.28999999999987,15.939999999999861
