,N=10,N=20,N=30,N=40,N=50,N=60,N=70,N=80,N=90,N=100
Min Q,0.04427083333333331,0.08816189236111112,0.08399777091906724,0.09727986653645834,0.08948749999999998,0.07119797025034295,0.07299548220648802,0.06542184617784291,0.06327782329082626,0.058136545138888884
Max Q,0.04427083333333331,0.08816189236111112,0.08399777091906724,0.09727986653645834,0.09251111111111109,0.07483563207304528,0.07679851277245589,0.07152917650010851,0.06859570547342039,0.0669509548611111
Arg Max LH,0.04427083333333308,0.08816189236111173,0.08399777091906703,0.09727986653645894,0.09015416666666677,0.07446633337620025,0.07443770824656387,0.0676854218377005,0.06571178121136674,0.061854830208333406
Frequency Max Q,20.0,20.0,20.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0
LH Max Q,100.00000000000088,100.00000000000088,100.00000000000088,100.00000000000088,4.986000000000004,2.533599999999994,5.009800000000001,4.997000000000006,5.034199999999999,5.004999999999997
Max LH,100.00000000000088,100.00000000000088,100.00000000000088,100.00000000000088,80.01719999999993,25.048799999999986,15.643200000000013,6.386999999999998,6.371000000000001,6.361800000000004
