,N=10,N=20,N=30,N=40,N=50,N=60,N=70,N=80,N=90,N=100
Min Q,0.04427083333333331,0.08816189236111112,0.08399777091906724,0.09727986653645834,0.08948749999999998,0.07119797025034295,0.07299548220648802,0.06542184617784291,0.06327782329082626,0.058136545138888884
Max Q,0.04427083333333331,0.08816189236111112,0.08399777091906724,0.09727986653645834,0.09251111111111109,0.07483563207304528,0.07679851277245589,0.07152917650010851,0.06859570547342039,0.0669509548611111
Arg Max LH,0.04427083333333308,0.08816189236111173,0.08399777091906703,0.09727986653645894,0.09015416666666677,0.07446556177126196,0.07439217455689759,0.06764940940009208,0.06564870039077712,0.06191595590277786
Frequency Max Q,20.0,20.0,20.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0
LH Max Q,100.00000000000088,100.00000000000088,100.00000000000088,100.00000000000088,4.977999999999989,2.493599999999999,5.097199999999987,4.932399999999988,4.921999999999987,5.061199999999991
Max LH,100.00000000000088,100.00000000000088,100.00000000000088,100.00000000000088,80.03840000000001,25.043199999999985,15.952800000000005,6.9676000000000435,6.918800000000046,6.953600000000039
