vertices_no,modularity
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
10.0,0.2777777777777778
20.0,0.556786703601108
20.0,0.556786703601108
20.0,0.556786703601108
20.0,0.556786703601108
20.0,0.556786703601108
20.0,0.556786703601108
20.0,0.556786703601108
20.0,0.556786703601108
20.0,0.556786703601108
20.0,0.556786703601108
20.0,0.556786703601108
20.0,0.556786703601108
20.0,0.556786703601108
20.0,0.556786703601108
20.0,0.556786703601108
20.0,0.556786703601108
20.0,0.556786703601108
20.0,0.556786703601108
20.0,0.556786703601108
20.0,0.556786703601108
20.0,0.556786703601108
20.0,0.556786703601108
20.0,0.556786703601108
20.0,0.556786703601108
20.0,0.556786703601108
20.0,0.556786703601108
20.0,0.556786703601108
20.0,0.556786703601108
20.0,0.556786703601108
20.0,0.556786703601108
20.0,0.556786703601108
20.0,0.556786703601108
20.0,0.556786703601108
20.0,0.556786703601108
20.0,0.556786703601108
20.0,0.556786703601108
20.0,0.556786703601108
20.0,0.556786703601108
20.0,0.556786703601108
20.0,0.556786703601108
20.0,0.556786703601108
20.0,0.556786703601108
20.0,0.556786703601108
20.0,0.556786703601108
20.0,0.556786703601108
20.0,0.556786703601108
20.0,0.556786703601108
20.0,0.556786703601108
