,N=10,N=20,N=30,N=40,N=50,N=60,N=70,N=80,N=90,N=100
Min Q,0.14030612244897964,0.18524930747922438,0.17382369614512472,0.1507325481183568,0.13566545948392938,0.11454545454545453,0.11335980136683219,0.10670753283911424,0.09780471051893715,0.09699095083955483
Max Q,0.14030612244897964,0.18524930747922438,0.17382369614512472,0.1507325481183568,0.13566545948392938,0.1213311164360115,0.12260815540229475,0.11509771484755119,0.10310271287169036,0.102701520275019
Arg Max LH,0.14030612244898014,0.18524930747922225,0.17382369614512624,0.15073254811835687,0.13566545948393005,0.11715284463788002,0.12013496238753202,0.10926856038681544,0.10120165068663688,0.0987762747438766
Frequency Max Q,20.0,20.0,20.0,20.0,20.0,2.0,1.0,1.0,1.0,1.0
LH Max Q,100.00000000000088,100.00000000000088,100.00000000000088,100.00000000000088,100.00000000000088,10.025999999999964,4.843999999999974,4.9859999999999705,5.083999999999972,5.085999999999974
Max LH,100.00000000000088,100.00000000000088,100.00000000000088,100.00000000000088,100.00000000000088,20.62199999999998,41.30000000000002,12.131999999999959,11.251999999999962,9.59799999999997
