,N=10,N=20,N=30,N=40,N=50,N=60,N=70,N=80,N=90,N=100
Min Q,0.14030612244897964,0.18524930747922438,0.17382369614512472,0.1507325481183568,0.13566545948392938,0.11454545454545453,0.11335980136683219,0.10670753283911424,0.09780471051893715,0.09699095083955483
Max Q,0.14030612244897964,0.18524930747922438,0.17382369614512472,0.1507325481183568,0.13566545948392938,0.1213311164360115,0.12260815540229475,0.11509771484755119,0.10310271287169036,0.102701520275019
Arg Max LH,0.14030612244898014,0.18524930747922225,0.17382369614512624,0.15073254811835687,0.13566545948393005,0.11716994278448857,0.12016095030148158,0.10916303858801298,0.10051669209478051,0.09852090453452009
Frequency Max Q,20.0,20.0,20.0,20.0,20.0,2.0,1.0,1.0,1.0,1.0
LH Max Q,100.00000000000088,100.00000000000088,100.00000000000088,100.00000000000088,100.00000000000088,10.239999999999919,4.799999999999973,4.509999999999975,5.52999999999996,5.059999999999972
Max LH,100.00000000000088,100.00000000000088,100.00000000000088,100.00000000000088,100.00000000000088,24.869999999999976,45.760000000000055,18.05999999999992,16.989999999999878,15.999999999999858
