         5864117 function calls (5727303 primitive calls) in 13.246 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       30    0.000    0.000    0.368    0.012 models.py:887(content)
       65    0.002    0.000    0.368    0.006 {method 'join' of 'bytes' objects}
        1    0.000    0.000    0.367    0.367 dwave_sampler.py:1(<module>)
      136    0.000    0.000    0.367    0.003 models.py:812(generate)
      136    0.000    0.000    0.366    0.003 response.py:913(stream)
      136    0.001    0.000    0.366    0.003 response.py:1031(read_chunked)
       12    0.000    0.000    0.353    0.029 api.py:1(<module>)
    17097    0.352    0.000    0.353    0.000 {built-in method nt.stat}
       36    0.000    0.000    0.323    0.009 __init__.py:299(loads)
       36    0.000    0.000    0.322    0.009 decoder.py:332(decode)
       36    0.319    0.009    0.322    0.009 decoder.py:343(raw_decode)
        5    0.000    0.000    0.319    0.064 models.py:944(json)
        5    0.000    0.000    0.305    0.061 connection.py:701(_ssl_wrap_socket_and_match_hostname)
        5    0.000    0.000    0.302    0.060 connection.py:428(getresponse)
        5    0.000    0.000    0.301    0.060 client.py:1331(getresponse)
        5    0.000    0.000    0.301    0.060 client.py:311(begin)
        5    0.000    0.000    0.301    0.060 ssl_.py:388(ssl_wrap_socket)
        5    0.000    0.000    0.299    0.060 client.py:278(_read_status)
        1    0.000    0.000    0.293    0.293 pyplot.py:1(<module>)
        2    0.000    0.000    0.278    0.139 schema.py:1(<module>)
        5    0.098    0.020    0.276    0.055 solver.py:751(__init__)
     3022    0.011    0.000    0.272    0.000 ntpath.py:667(realpath)
        2    0.000    0.000    0.269    0.134 client.py:1(<module>)
    12207    0.005    0.000    0.268    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
2915/2881    0.004    0.000    0.266    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
        5    0.000    0.000    0.260    0.052 ssl_.py:487(_ssl_wrap_socket_impl)
        5    0.000    0.000    0.260    0.052 ssl.py:507(wrap_socket)
        5    0.000    0.000    0.260    0.052 ssl.py:1014(_create)
        5    0.000    0.000    0.259    0.052 ssl.py:1335(do_handshake)
        5    0.259    0.052    0.259    0.052 {method 'do_handshake' of '_ssl._SSLSocket' objects}
      131    0.000    0.000    0.238    0.002 response.py:1009(_handle_chunk)
      182    0.000    0.000    0.238    0.001 client.py:624(_safe_read)
     6046    0.216    0.000    0.216    0.000 {built-in method nt._getfinalpathname}
        1    0.000    0.000    0.210    0.210 distributions.py:1(<module>)
  198/136    0.000    0.000    0.208    0.002 <frozen importlib._bootstrap_external>:1182(exec_module)
  198/136    0.032    0.000    0.208    0.002 {built-in method _imp.exec_dynamic}
        4    0.000    0.000    0.208    0.052 models.py:1(<module>)
     9446    0.007    0.000    0.206    0.000 re.py:288(_compile)
     2684    0.005    0.000    0.203    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
      103    0.001    0.000    0.199    0.002 artist.py:159(_update_set_signature_and_docstring)
      102    0.000    0.000    0.196    0.002 artist.py:126(__init_subclass__)
      447    0.002    0.000    0.195    0.000 sre_compile.py:783(compile)
     2684    0.194    0.000    0.194    0.000 {built-in method marshal.loads}
        5    0.000    0.000    0.181    0.036 connection.py:194(_new_conn)
   400505    0.181    0.000    0.181    0.000 dwave_sampler.py:300(<genexpr>)
