         5864117 function calls (5727303 primitive calls) in 13.246 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      414    0.001    0.000    0.009    0.000 __init__.py:1336(safe_version)
       29    0.001    0.000    0.009    0.000 _fields.py:99(collect_model_fields)
        1    0.000    0.000    0.008    0.008 matmul.py:1(<module>)
      228    0.000    0.000    0.008    0.000 pathlib.py:1129(read_text)
        1    0.000    0.000    0.008    0.008 py3k.py:1(<module>)
        1    0.000    0.000    0.008    0.008 connectionpool.py:1(<module>)
       16    0.000    0.000    0.008    0.001 _docscrape.py:140(__init__)
  248/130    0.001    0.000    0.008    0.000 copy.py:227(_deepcopy_dict)
      226    0.001    0.000    0.008    0.000 _generate_schema.py:623(_generate_schema_from_property)
        1    0.000    0.000    0.008    0.008 winterm.py:1(<module>)
      200    0.000    0.000    0.008    0.000 pyplot.py:162(_copy_docstring_and_deprecators)
    16233    0.008    0.000    0.008    0.000 {method 'expandtabs' of 'str' objects}
        4    0.000    0.000    0.008    0.002 types.py:1(<module>)
        1    0.000    0.000    0.008    0.008 reconstruct.py:1(<module>)
        3    0.000    0.000    0.008    0.003 subprocess.py:758(__init__)
     3233    0.001    0.000    0.008    0.000 typing.py:137(_type_convert)
  669/659    0.000    0.000    0.008    0.000 cache.py:67(wrapper)
        3    0.000    0.000    0.008    0.003 numeric.py:1(<module>)
        1    0.000    0.000    0.008    0.008 specifiers.py:97(Specifier)
     8052    0.005    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
        1    0.000    0.000    0.008    0.008 adapters.py:1(<module>)
        1    0.000    0.000    0.008    0.008 accept.py:1(<module>)
       66    0.000    0.000    0.008    0.000 core.py:2984(parseImpl)
        4    0.000    0.000    0.008    0.002 utilities.py:1(<module>)
    49889    0.008    0.000    0.008    0.000 {method 'replace' of 'str' objects}
      100    0.001    0.000    0.008    0.000 pyplot.py:195(_add_pyplot_note)
      414    0.000    0.000    0.008    0.000 __init__.py:1622(_has)
     4781    0.001    0.000    0.008    0.000 abc.py:117(__instancecheck__)
        3    0.000    0.000    0.008    0.003 _basic.py:1(<module>)
        3    0.000    0.000    0.008    0.003 subprocess.py:1354(_execute_child)
    21/12    0.000    0.000    0.008    0.001 functools.py:961(__get__)
        1    0.000    0.000    0.008    0.008 win32.py:1(<module>)
     8148    0.008    0.000    0.008    0.000 {built-in method _thread.allocate_lock}
        5    0.008    0.002    0.008    0.002 structured.py:122(<dictcomp>)
        9    0.000    0.000    0.008    0.001 core.py:2973(re_match)
        1    0.000    0.000    0.008    0.008 _root.py:1(<module>)
        9    0.000    0.000    0.008    0.001 core.py:2961(re)
    32/30    0.000    0.000    0.008    0.000 core.py:4956(parseImpl)
        5    0.000    0.000    0.008    0.002 utils.py:476(default_user_agent)
        5    0.000    0.000    0.008    0.002 utils.py:422(user_agent)
        3    0.008    0.003    0.008    0.003 {built-in method _winapi.CreateProcess}
        1    0.000    0.000    0.008    0.008 textpath.py:1(<module>)
     4176    0.004    0.000    0.008    0.000 artist.py:1558(aliased_name)
        1    0.000    0.000    0.008    0.008 numbers.py:329(tribonacci)
        1    0.000    0.000    0.007    0.007 expr.py:230(__pow__)
        1    0.000    0.000    0.007    0.007 decorators.py:224(_func)
        1    0.000    0.000    0.007    0.007 decorators.py:99(binary_op_wrapper)
        1    0.000    0.000    0.007    0.007 expr.py:225(_pow)
      2/1    0.000    0.000    0.007    0.007 power.py:282(__new__)
        1    0.000    0.000    0.007    0.007 _rotation_groups.py:1(<module>)
        5    0.000    0.000    0.007    0.001 platform.py:1176(platform)
        2    0.000    0.000    0.007    0.004 simplify.py:1(<module>)
      103    0.002    0.000    0.007    0.000 artist.py:170(<listcomp>)
       34    0.000    0.000    0.007    0.000 _core_utils.py:417(simplify_schema_references)
    16104    0.005    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
        1    0.000    0.000    0.007    0.007 axis3d.py:1(<module>)
        3    0.000    0.000    0.007    0.002 format.py:1(<module>)
        1    0.000    0.000    0.007    0.007 configuration.py:1(<module>)
        1    0.000    0.000    0.007    0.007 feedparser.py:1(<module>)
      126    0.000    0.000    0.007    0.000 _distn_infrastructure.py:608(__init__)
      381    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
        2    0.000    0.000    0.007    0.004 structures.py:1(<module>)
        1    0.000    0.000    0.007    0.007 _request_methods.py:1(<module>)
    45/43    0.000    0.000    0.007    0.000 _generate_schema.py:846(_match_generic_type)
        1    0.000    0.000    0.007    0.007 __init__.py:989(version)
     4781    0.001    0.000    0.007    0.000 {built-in method _abc._abc_instancecheck}
        1    0.000    0.000    0.007    0.007 _generate_schema.py:1(<module>)
      124    0.000    0.000    0.007    0.000 _make.py:306(_make_method)
      462    0.000    0.000    0.007    0.000 __init__.py:1417(_get_metadata_path)
     1169    0.001    0.000    0.007    0.000 typing.py:947(__init__)
        5    0.000    0.000    0.007    0.001 loaders.py:452(load_config)
     9823    0.007    0.000    0.007    0.000 {method 'splitlines' of 'str' objects}
       46    0.000    0.000    0.007    0.000 _make.py:640(__init__)
        1    0.000    0.000    0.007    0.007 formatter.py:1(<module>)
        1    0.000    0.000    0.007    0.007 multiarray.py:1(<module>)
    21988    0.005    0.000    0.007    0.000 inspect.py:182(ismodule)
    26755    0.007    0.000    0.007    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
        1    0.000    0.000    0.007    0.007 algebraicfield.py:1(<module>)
     2684    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
       74    0.000    0.000    0.007    0.000 typing_extensions.py:873(<dictcomp>)
      462    0.001    0.000    0.007    0.000 __init__.py:1496(_fn)
      556    0.003    0.000    0.007    0.000 symbol.py:586(symbols)
        5    0.000    0.000    0.007    0.001 regions.py:145(resolve_endpoints)
        1    0.000    0.000    0.007    0.007 pdb.py:1(<module>)
        2    0.000    0.000    0.007    0.003 _matfuncs.py:1(<module>)
      960    0.002    0.000    0.007    0.000 copy.py:66(copy)
        1    0.000    0.000    0.007    0.007 sampleset.py:1(<module>)
        1    0.000    0.000    0.007    0.007 pythoncom.py:1(<module>)
    24238    0.005    0.000    0.006    0.000 {built-in method builtins.setattr}
      540    0.001    0.000    0.006    0.000 _print_helpers.py:27(__str__)
      531    0.000    0.000    0.006    0.000 contextlib.py:130(__enter__)
       19    0.000    0.000    0.006    0.000 _distn_infrastructure.py:3245(_construct_docstrings)
        2    0.000    0.000    0.006    0.003 config.py:1(<module>)
        1    0.000    0.000    0.006    0.006 _interpolate.py:1(<module>)
       30    0.000    0.000    0.006    0.000 __init__.py:903(<genexpr>)
        1    0.000    0.000    0.006    0.006 quiver.py:1(<module>)
      846    0.001    0.000    0.006    0.000 typing.py:664(__init__)
      212    0.001    0.000    0.006    0.000 typing.py:1138(__getitem__)
       28    0.000    0.000    0.006    0.000 __init__.py:801(search)
        2    0.000    0.000    0.006    0.003 core.py:3949(parseImpl)
        4    0.000    0.000    0.006    0.002 core.py:878(try_parse)
        1    0.000    0.000    0.006    0.006 traveling_salesman.py:1(<module>)
       46    0.000    0.000    0.006    0.000 _make.py:479(_transform_attrs)
        1    0.000    0.000    0.006    0.006 string_.py:1(<module>)
        5    0.000    0.000    0.006    0.001 loaders.py:302(load_profile_from_files)
        4    0.000    0.000    0.006    0.002 eigen.py:1(<module>)
        1    0.000    0.000    0.006    0.006 union.py:1(<module>)
        5    0.000    0.000    0.006    0.001 loaders.py:250(load_config_from_files)
        1    0.000    0.000    0.006    0.006 error_functions.py:1(<module>)
        5    0.000    0.000    0.006    0.001 regions.py:50(get_regions)
        2    0.000    0.000    0.006    0.003 scale.py:1(<module>)
        1    0.000    0.000    0.006    0.006 docscrape.py:1(<module>)
        1    0.000    0.000    0.006    0.006 platform.py:1(<module>)
        1    0.000    0.000    0.006    0.006 exponential.py:1(<module>)
       16    0.000    0.000    0.006    0.000 _docscrape.py:371(_parse)
        1    0.000    0.000    0.006    0.006 frame.py:509(DataFrame)
       44    0.000    0.000    0.006    0.000 typing.py:2267(__new__)
        2    0.000    0.000    0.006    0.003 readers.py:1(<module>)
       33    0.000    0.000    0.006    0.000 dataclasses.py:598(_frozen_get_del_attr)
      336    0.000    0.000    0.006    0.000 typing.py:1147(copy_with)
        1    0.000    0.000    0.006    0.006 secrets.py:1(<module>)
        9    0.000    0.000    0.006    0.001 version.py:1(<module>)
        1    0.000    0.000    0.006    0.006 specifiers.py:299(Specifier)
        1    0.000    0.000    0.006    0.006 polyclasses.py:1(<module>)
        1    0.000    0.000    0.006    0.006 __init__.py:963(distribution)
        1    0.000    0.000    0.006    0.006 database_manager.py:1(<module>)
        1    0.000    0.000    0.006    0.006 __init__.py:532(from_name)
        1    0.000    0.000    0.006    0.006 cm.py:1(<module>)
     3664    0.001    0.000    0.006    0.000 {method 'extend' of 'list' objects}
       45    0.000    0.000    0.006    0.000 typing.py:2247(_make_nmtuple)
        2    0.000    0.000    0.006    0.003 http.py:1(<module>)
       20    0.000    0.000    0.006    0.000 core.py:5392(__init__)
        2    0.000    0.000    0.006    0.003 overrides.py:1(<module>)
      106    0.000    0.000    0.006    0.000 dataclasses.py:623(_cmp_fn)
        2    0.000    0.000    0.006    0.003 _decorators.py:1(<module>)
        4    0.000    0.000    0.006    0.001 misc.py:1(<module>)
     9131    0.006    0.000    0.006    0.000 {built-in method _winapi.LCMapStringEx}
        1    0.000    0.000    0.006    0.006 quadratic_model.py:1(<module>)
        2    0.000    0.000    0.006    0.003 helpers.py:1(<module>)
        1    0.000    0.000    0.006    0.006 ExifTags.py:1(<module>)
        1    0.000    0.000    0.006    0.006 ode.py:1(<module>)
       43    0.000    0.000    0.006    0.000 _generate_schema.py:1143(_union_schema)
    61/17    0.000    0.000    0.006    0.000 core.py:4379(leave_whitespace)
68233/66822    0.005    0.000    0.006    0.000 {built-in method builtins.hash}
     1071    0.003    0.000    0.006    0.000 ntpath.py:206(split)
    10507    0.003    0.000    0.006    0.000 typing.py:935(_is_dunder)
       33    0.000    0.000    0.006    0.000 _functools.py:75(wrapper)
     7889    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap>:404(parent)
       48    0.000    0.000    0.006    0.000 __init__.py:1440(get_metadata_lines)
        1    0.000    0.000    0.006    0.006 symbol.py:1(<module>)
        2    0.000    0.000    0.006    0.003 pywintypes.py:8(__import_pywin32_system_module__)
      228    0.000    0.000    0.006    0.000 pathlib.py:1111(open)
        3    0.000    0.000    0.006    0.002 patches.py:2283(__init_subclass__)
     1216    0.003    0.000    0.006    0.000 enum.py:89(__setitem__)
       94    0.000    0.000    0.006    0.000 dataclasses.py:587(_repr_fn)
        6    0.000    0.000    0.005    0.001 patches.py:2325(pprint_styles)
       15    0.000    0.000    0.005    0.000 __init__.py:810(lookup)
        1    0.000    0.000    0.005    0.005 cd.py:1(<module>)
       15    0.001    0.000    0.005    0.000 __init__.py:816(__init__)
        2    0.000    0.000    0.005    0.003 dtypes.py:1(<module>)
      540    0.000    0.000    0.005    0.000 printer.py:371(__call__)
      853    0.001    0.000    0.005    0.000 core.py:499(copy)
        1    0.001    0.001    0.005    0.005 _core.py:485(crawl)
        1    0.000    0.000    0.005    0.005 qcut.py:1(<module>)
     3960    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap>:198(cb)
        5    0.000    0.000    0.005    0.001 loaders.py:117(get_configfile_paths)
      367    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1494(__init__)
        1    0.000    0.000    0.005    0.005 _policybase.py:1(<module>)
        1    0.000    0.000    0.005    0.005 minimize_trustregion_constr.py:1(<module>)
    22721    0.005    0.000    0.005    0.000 {method 'rpartition' of 'str' objects}
        5    0.000    0.000    0.005    0.001 sessions.py:459(prepare_request)
        1    0.000    0.000    0.005    0.005 _filters.py:1(<module>)
     1702    0.001    0.000    0.005    0.000 typing.py:515(<genexpr>)
      115    0.000    0.000    0.005    0.000 typing.py:523(Optional)
       48    0.000    0.000    0.005    0.000 __init__.py:1427(get_metadata)
       97    0.001    0.000    0.005    0.000 docscrape.py:228(_parse_param_list)
        2    0.000    0.000    0.005    0.003 draw.py:1(<module>)
        1    0.000    0.000    0.005    0.005 cookiejar.py:1(<module>)
       81    0.005    0.000    0.005    0.000 {method 'execute' of 'sqlite3.Connection' objects}
        1    0.000    0.000    0.005    0.005 loaders.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _multivariate.py:1(<module>)
        1    0.000    0.000    0.005    0.005 ssl.py:1(<module>)
       18    0.000    0.000    0.005    0.000 rcsetup.py:827(validate_cycler)
       11    0.000    0.000    0.005    0.000 homebase.py:340(_get_folder)
      540    0.000    0.000    0.005    0.000 str.py:982(sstr)
        1    0.000    0.000    0.005    0.005 iterative.py:1(<module>)
        6    0.000    0.000    0.005    0.001 patches.py:2329(<listcomp>)
        1    0.000    0.000    0.005    0.005 masked.py:1(<module>)
        1    0.000    0.000    0.005    0.005 gexf.py:1(<module>)
        1    0.000    0.000    0.005    0.005 array_ops.py:1(<module>)
    14567    0.003    0.000    0.005    0.000 sre_parse.py:250(match)
        5    0.000    0.000    0.005    0.001 response.py:1(<module>)
        1    0.000    0.000    0.005    0.005 trigonometric.py:1(<module>)
        1    0.000    0.000    0.005    0.005 eval.py:1(<module>)
        1    0.000    0.000    0.005    0.005 PngImagePlugin.py:1(<module>)
        2    0.000    0.000    0.005    0.002 tags.py:1(<module>)
        6    0.000    0.000    0.005    0.001 validators.py:137(create)
    26/24    0.000    0.000    0.005    0.000 _generate_schema.py:1901(new_handler)
        2    0.000    0.000    0.005    0.002 resources.py:1(<module>)
      646    0.000    0.000    0.005    0.000 sre_parse.py:97(closegroup)
        1    0.000    0.000    0.005    0.005 limits.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _minpack_py.py:1(<module>)
        2    0.000    0.000    0.005    0.002 shape_base.py:1(<module>)
      334    0.001    0.000    0.005    0.000 overrides.py:142(decorator)
        2    0.000    0.000    0.005    0.002 _typing.py:1(<module>)
       13    0.000    0.000    0.005    0.000 rcsetup.py:426(validate_font_properties)
     2974    0.003    0.000    0.005    0.000 __init__.py:89(find_spec)
       10    0.000    0.000    0.005    0.000 _fontconfig_pattern.py:77(parse_fontconfig_pattern)
        3    0.000    0.000    0.005    0.002 testing.py:1(<module>)
        1    0.000    0.000    0.005    0.005 generic.py:244(NDFrame)
        1    0.000    0.000    0.005    0.005 socket.py:1(<module>)
        5    0.000    0.000    0.005    0.001 type_adapter.py:152(__init__)
        1    0.000    0.000    0.005    0.005 _resampling.py:1(<module>)
      270    0.000    0.000    0.005    0.000 _decorators.py:387(<listcomp>)
       48    0.000    0.000    0.005    0.000 __init__.py:1366(_add_data_doc)
        1    0.000    0.000    0.005    0.005 gmpy.py:1(<module>)
      470    0.001    0.000    0.005    0.000 pathlib.py:569(_parse_args)
    52635    0.005    0.000    0.005    0.000 {built-in method nt.fspath}
        1    0.000    0.000    0.005    0.005 multipart.py:1(<module>)
        2    0.000    0.000    0.005    0.002 interval.py:1(<module>)
       11    0.004    0.000    0.005    0.000 homebase.py:455(_get_win_folder)
     9161    0.005    0.000    0.005    0.000 {method 'format' of 'str' objects}
        4    0.000    0.000    0.005    0.001 chimera.py:1(<module>)
        1    0.000    0.000    0.005    0.005 ticker.py:1(<module>)
        1    0.000    0.000    0.005    0.005 pretty.py:1(<module>)
    27390    0.005    0.000    0.005    0.000 assumptions.py:469(as_property)
        1    0.000    0.000    0.004    0.004 comparison.py:1(<module>)
     1780    0.003    0.000    0.004    0.000 inspect.py:612(unwrap)
        1    0.000    0.000    0.004    0.004 compiler.py:1(<module>)
        5    0.000    0.000    0.004    0.001 transforms.py:179(embed_bqm)
        1    0.000    0.000    0.004    0.004 artist.py:1(<module>)
        3    0.000    0.000    0.004    0.001 accessor.py:1(<module>)
  236/118    0.000    0.000    0.004    0.000 core.py:3722(copy)
        1    0.000    0.000    0.004    0.004 _core.py:347(__rmatmul__)
      109    0.000    0.000    0.004    0.000 linecache.py:36(getlines)
       48    0.000    0.000    0.004    0.000 __init__.py:1634(_get)
       34    0.000    0.000    0.004    0.000 _discriminated_union.py:37(apply_discriminators)
        1    0.000    0.000    0.004    0.004 complexes.py:1(<module>)
        1    0.000    0.000    0.004    0.004 single.py:1(<module>)
        1    0.000    0.000    0.004    0.004 legend.py:1(<module>)
       68    0.000    0.000    0.004    0.000 __init__.py:2534(parse_group)
        1    0.000    0.000    0.004    0.004 font_manager.py:1567(_load_fontmanager)
       14    0.000    0.000    0.004    0.000 linecache.py:80(updatecache)
        3    0.000    0.000    0.004    0.001 converters.py:1(<module>)
    12476    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:897(__exit__)
        3    0.000    0.000    0.004    0.001 ops.py:1(<module>)
       64    0.002    0.000    0.004    0.000 util.py:182(_collapse_string_to_ranges)
        1    0.000    0.000    0.004    0.004 reader.py:1(<module>)
       21    0.000    0.000    0.004    0.000 _core.py:17(_schemas)
        1    0.000    0.000    0.004    0.004 finitefield.py:1(<module>)
        1    0.000    0.000    0.004    0.004 reader.py:45(Reader)
        1    0.000    0.000    0.004    0.004 minpoly.py:1(<module>)
    70/12    0.001    0.000    0.004    0.000 core.py:3816(streamline)
        1    0.000    0.000    0.004    0.004 _qubit_device.py:1(<module>)
   113/17    0.000    0.000    0.004    0.000 core.py:3635(leave_whitespace)
        5    0.000    0.000    0.004    0.001 type_adapter.py:33(_get_schema)
      510    0.001    0.000    0.004    0.000 _generate_schema.py:2230(get_schema_or_ref)
        1    0.000    0.000    0.004    0.004 cm.py:32(_gen_cmap_registry)
    12476    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:893(__enter__)
   124/10    0.000    0.000    0.004    0.000 core.py:3675(streamline)
        1    0.000    0.000    0.004    0.004 _optimize.py:1(<module>)
     3405    0.002    0.000    0.004    0.000 inspect.py:773(getfile)
        1    0.000    0.000    0.004    0.004 prod.py:1(<module>)
        1    0.000    0.000    0.004    0.004 font_manager.py:972(json_load)
        1    0.000    0.000    0.004    0.004 table.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _linprog_ip.py:1(<module>)
        1    0.000    0.000    0.004    0.004 state_preparation.py:1(<module>)
        1    0.000    0.000    0.004    0.004 __init__.py:274(load)
        2    0.000    0.000    0.004    0.002 datetimelike.py:1(<module>)
        2    0.000    0.000    0.004    0.002 tz.py:1(<module>)
      119    0.000    0.000    0.004    0.000 typing.py:407(__getitem__)
        1    0.000    0.000    0.004    0.004 builtins.py:1(<module>)
        2    0.000    0.000    0.004    0.002 _misc.py:1(<module>)
        2    0.000    0.000    0.004    0.002 categorical.py:1(<module>)
      252    0.000    0.000    0.004    0.000 pathlib.py:589(_from_parts)
        1    0.000    0.000    0.004    0.004 windows_events.py:1(<module>)
        2    0.000    0.000    0.004    0.002 _config.py:1(<module>)
       29    0.000    0.000    0.004    0.000 _signature.py:145(generate_pydantic_signature)
        1    0.000    0.000    0.004    0.004 locales.py:1(<module>)
        1    0.000    0.000    0.004    0.004 adjoint_constructor.py:1(<module>)
        1    0.000    0.000    0.004    0.004 kind.py:1(<module>)
      237    0.000    0.000    0.004    0.000 pathlib.py:957(__new__)
      124    0.000    0.000    0.004    0.000 typing.py:1223(__getitem__)
        5    0.000    0.000    0.004    0.001 ssl_.py:208(create_urllib3_context)
        1    0.000    0.000    0.004    0.004 _codata.py:1(<module>)
        2    0.000    0.000    0.004    0.002 bessel.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _base.py:1435(ExcelFile)
      638    0.000    0.000    0.004    0.000 ntpath.py:247(dirname)
        1    0.000    0.000    0.004    0.004 ivp.py:1(<module>)
      473    0.002    0.000    0.004    0.000 pathlib.py:56(parse_parts)
       32    0.000    0.000    0.004    0.000 doccer.py:225(decorate)
    31/28    0.000    0.000    0.004    0.000 core.py:4779(parseImpl)
        4    0.000    0.000    0.004    0.001 decorators.py:1(<module>)
       18    0.000    0.000    0.004    0.000 core.py:2678(__init__)
2686/2685    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
        1    0.000    0.000    0.004    0.004 cem.py:1(<module>)
       27    0.000    0.000    0.004    0.000 singleton.py:171(__init__)
        2    0.000    0.000    0.004    0.002 decoder.py:1(<module>)
      804    0.001    0.000    0.004    0.000 functools.py:884(wrapper)
        1    0.000    0.000    0.004    0.004 jit.py:1(<module>)
  236/118    0.000    0.000    0.004    0.000 core.py:3724(<listcomp>)
        1    0.000    0.000    0.004    0.004 pathlib.py:1(<module>)
      114    0.001    0.000    0.004    0.000 typing.py:532(Literal)
    28541    0.004    0.000    0.004    0.000 {method 'group' of 're.Match' objects}
        1    0.000    0.000    0.004    0.004 _helper.py:1(<module>)
        1    0.000    0.000    0.004    0.004 pythonmpq.py:1(<module>)
        1    0.000    0.000    0.003    0.003 nx_agraph.py:1(<module>)
    12256    0.002    0.000    0.003    0.000 conflict.py:15(<genexpr>)
       29    0.001    0.000    0.003    0.000 _signature.py:71(_generate_signature_parameters)
      270    0.001    0.000    0.003    0.000 _core_utils.py:77(get_type_ref)
      462    0.001    0.000    0.003    0.000 __init__.py:1502(_validate_resource_path)
        1    0.000    0.000    0.003    0.003 betweenness.py:1(<module>)
    74/54    0.000    0.000    0.003    0.000 core.py:646(_sql)
     9582    0.002    0.000    0.003    0.000 inspect.py:820(<genexpr>)
       66    0.003    0.000    0.003    0.000 {built-in method _thread.start_new_thread}
        1    0.000    0.000    0.003    0.003 process_lock.py:1(<module>)
        1    0.000    0.000    0.003    0.003 chordal.py:1(<module>)
        1    0.000    0.000    0.003    0.003 ctx_mp.py:1(<module>)
    74/54    0.000    0.000    0.003    0.000 core.py:608(_con)
     2070    0.003    0.000    0.003    0.000 version.py:444(_cmpkey)
  920/400    0.000    0.000    0.003    0.000 core.py:1857(name)
        1    0.000    0.000    0.003    0.003 _secondary_axes.py:1(<module>)
        2    0.000    0.000    0.003    0.002 pickle.py:1(<module>)
       12    0.000    0.000    0.003    0.000 enum.py:536(_convert_)
    70/17    0.000    0.000    0.003    0.000 core.py:4409(streamline)
       47    0.000    0.000    0.003    0.000 core.py:662(_execute_with_retry)
        2    0.000    0.000    0.003    0.002 encoder.py:1(<module>)
        1    0.000    0.000    0.003    0.003 fromnumeric.py:1(<module>)
        4    0.000    0.000    0.003    0.001 numpy_wrapper.py:18(wrap_namespace)
        1    0.000    0.000    0.003    0.003 resolver.py:1(<module>)
        1    0.000    0.000    0.003    0.003 numpy_.py:1(<module>)
  813/305    0.000    0.000    0.003    0.000 core.py:1832(default_name)
      585    0.000    0.000    0.003    0.000 tracer.py:31(primitive)
      207    0.001    0.000    0.003    0.000 __init__.py:2886(insert_on)
     1589    0.002    0.000    0.003    0.000 inspect.py:66(get_annotations)
        1    0.000    0.000    0.003    0.003 header.py:1(<module>)
   619/34    0.001    0.000    0.003    0.000 _core_utils.py:423(collect_refs)
       27    0.000    0.000    0.003    0.000 _make.py:1841(_make_repr)
      414    0.001    0.000    0.003    0.000 __init__.py:691(add)
       17    0.000    0.000    0.003    0.000 enum.py:483(_create_)
        1    0.000    0.000    0.003    0.003 _mstats_basic.py:1(<module>)
     3077    0.003    0.000    0.003    0.000 {built-in method nt._getfullpathname}
    13378    0.003    0.000    0.003    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.003    0.003 json_schema.py:1(<module>)
      540    0.000    0.000    0.003    0.000 printer.py:290(doprint)
      191    0.000    0.000    0.003    0.000 __init__.py:2505(parse)
        1    0.000    0.000    0.003    0.003 __init__.py:257(_check_versions)
      454    0.001    0.000    0.003    0.000 assumptions.py:449(__init__)
      409    0.000    0.000    0.003    0.000 rcsetup.py:332(validate_color)
        1    0.000    0.000    0.003    0.003 _make.py:1(<module>)
        1    0.000    0.000    0.003    0.003 functional_validators.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _csr.py:1(<module>)
        8    0.000    0.000    0.003    0.000 dataclasses.py:1333(make_dataclass)
        1    0.000    0.000    0.003    0.003 std.py:560(__new__)
        1    0.000    0.000    0.003    0.003 _fitpack_py.py:1(<module>)
    11631    0.002    0.000    0.003    0.000 sre_parse.py:161(__len__)
        1    0.001    0.001    0.003    0.003 cbook.py:1(<module>)
        1    0.000    0.000    0.003    0.003 plot_implicit.py:1(<module>)
      410    0.001    0.000    0.003    0.000 _known_annotated_metadata.py:127(expand_grouped_metadata)
        1    0.000    0.000    0.003    0.003 parser.py:104(DateTimeParser)
       78    0.000    0.000    0.003    0.000 _core_utils.py:292(handle_union_schema)
        1    0.000    0.000    0.003    0.003 __init__.py:85(_alias_old_client_submodules)
  224/116    0.001    0.000    0.003    0.000 _generics.py:338(has_instance_in_type)
      735    0.003    0.000    0.003    0.000 {built-in method _abc._abc_init}
        4    0.000    0.000    0.003    0.001 urls.py:29(_make_unquote_part)
        1    0.000    0.000    0.003    0.003 libmpf.py:1(<module>)
      413    0.001    0.000    0.003    0.000 deprecation.py:9(wrap)
        1    0.000    0.000    0.003    0.003 _axis_nan_policy.py:1(<module>)
        1    0.000    0.000    0.003    0.003 execution.py:1(<module>)
      207    0.000    0.000    0.003    0.000 __init__.py:379(_from_text_for)
      838    0.000    0.000    0.003    0.000 _core.py:501(<genexpr>)
     3248    0.003    0.000    0.003    0.000 {built-in method nt._path_splitroot}
        1    0.000    0.000    0.003    0.003 gamma_functions.py:1(<module>)
     8959    0.002    0.000    0.003    0.000 logic.py:228(__new__)
       93    0.000    0.000    0.003    0.000 _docscrape.py:195(_read_to_next_section)
      438    0.001    0.000    0.003    0.000 font_manager.py:931(_json_decode)
        2    0.000    0.000    0.003    0.001 domainmatrix.py:1(<module>)
      113    0.000    0.000    0.003    0.000 core.py:3643(<listcomp>)
        2    0.000    0.000    0.003    0.001 core.py:5798(<listcomp>)
        5    0.000    0.000    0.003    0.001 homebase.py:310(site_config_dir_list)
      961    0.002    0.000    0.003    0.000 copy.py:259(_reconstruct)
        1    0.000    0.000    0.003    0.003 uarray.py:1(<module>)
        1    0.000    0.000    0.003    0.003 singularity_functions.py:1(<module>)
      540    0.002    0.000    0.003    0.000 printer.py:294(_print)
       24    0.000    0.000    0.003    0.000 _make.py:901(add_repr)
     4201    0.003    0.000    0.003    0.000 {method 'match' of 're.Pattern' objects}
        1    0.000    0.000    0.003    0.003 gml.py:1(<module>)
     5067    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
     2308    0.001    0.000    0.003    0.000 sre_compile.py:447(_simple)
      456    0.001    0.000    0.003    0.000 typing.py:267(_remove_dups_flatten)
        3    0.000    0.000    0.003    0.001 _adapters.py:1(<module>)
      111    0.000    0.000    0.003    0.000 rcsetup.py:99(f)
        1    0.000    0.000    0.003    0.003 contingency.py:1(<module>)
    57/11    0.000    0.000    0.003    0.000 core.py:4092(streamline)
        5    0.000    0.000    0.003    0.001 ssl.py:488(__new__)
      272    0.001    0.000    0.003    0.000 dataclasses.py:722(_get_field)
       93    0.000    0.000    0.003    0.000 _docscrape.py:206(_read_sections)
        1    0.000    0.000    0.003    0.003 maxflow.py:1(<module>)
        1    0.000    0.000    0.003    0.003 numpy_wrapper.py:1(<module>)
      617    0.001    0.000    0.003    0.000 wrap_util.py:25(_wraps)
      207    0.000    0.000    0.003    0.000 __init__.py:784(joinpath)
       97    0.000    0.000    0.003    0.000 docscrape.py:362(_parse_summary)
        2    0.000    0.000    0.003    0.001 apply.py:1(<module>)
     1003    0.002    0.000    0.003    0.000 typing.py:206(_collect_type_vars)
        1    0.000    0.000    0.003    0.003 tempfile.py:1(<module>)
        1    0.001    0.001    0.003    0.003 packages.py:1(<module>)
      838    0.000    0.000    0.003    0.000 _core.py:235(<genexpr>)
