,N=10,N=20,N=30,N=40,N=50,N=60,N=70,N=80,N=90,N=100
Min Q,0.4259259259259259,0.5817174515235457,0.6296076099881094,0.6502301117685733,0.6605581007913369,0.647084171215168,0.7470069313169503,0.7381028681301074,0.7372175230400202,0.7690031629425569
Max Q,0.4259259259259259,0.5817174515235457,0.6296076099881094,0.6502301117685733,0.6605581007913369,0.6600114909508762,0.7507876496534341,0.7488383271911553,0.756407019315743,0.7830833588409346
Arg Max LH,0.425925925925921,0.581717451523545,0.6296076099881089,0.6502301117685694,0.660558100791337,0.6600114909508721,0.7474001260239511,0.7488383271911517,0.7545067541976972,0.7821716151413103
Frequency Max Q,20.0,20.0,20.0,20.0,20.0,19.0,8.0,19.0,6.0,7.0
LH Max Q,100.00000000000088,100.00000000000088,100.00000000000088,100.00000000000088,100.00000000000088,95.00000000000021,40.16999999999998,95.08000000000028,29.709999999999923,34.729999999999954
Max LH,100.00000000000088,100.00000000000088,100.00000000000088,100.00000000000088,100.00000000000088,95.00000000000021,61.50999999999996,95.08000000000028,30.909999999999904,35.09999999999997
