,N=10,N=20,N=30,N=40,N=50,N=60,N=70,N=80,N=90,N=100
Min Q,0.4259259259259259,0.5817174515235457,0.6296076099881094,0.6502301117685733,0.6605581007913369,0.647084171215168,0.7470069313169503,0.7381028681301074,0.7372175230400202,0.7690031629425569
Max Q,0.4259259259259259,0.5817174515235457,0.6296076099881094,0.6502301117685733,0.6605581007913369,0.6600114909508762,0.7507876496534341,0.7488383271911553,0.756407019315743,0.7830833588409346
Arg Max LH,0.425925925925921,0.581717451523545,0.6296076099881089,0.6502301117685694,0.660558100791337,0.6600114909508721,0.7470598613736686,0.7488383271911517,0.7563984345410851,0.7830833588409326
Frequency Max Q,20.0,20.0,20.0,20.0,20.0,19.0,8.0,19.0,6.0,7.0
LH Max Q,100.00000000000088,100.00000000000088,100.00000000000088,100.00000000000088,100.00000000000088,94.96000000000012,39.782000000000046,95.00200000000001,30.117999999999977,34.84600000000001
Max LH,100.00000000000088,100.00000000000088,100.00000000000088,100.00000000000088,100.00000000000088,94.96000000000012,60.31399999999998,95.00200000000001,30.117999999999977,34.84600000000001
